Startnummer  S-1   1-2   2-3   3-4   4-M     Tot
1            1.32  1.10  2.32  0.32  10.31   16.17
2            2.12  1.05  3.12  1.10  4.32    11.03
3            1.45  2.03  1.56  0.45  5.42    11.49
4            2.03  1.53  2.36  1.03  6.23    14.07
5            2.53  1.23  4.01  1.41  5.02    13.23
6            1.56  1.43  2.52  1.12  7.36    14.43
7            2.01  2.42  1.35  2.04  5.21    12.43
8            1.42  1.45  2.42  1.06  6.10    13.07
9            2.05  2.04  3.15  2.12  7.18    16.08
10           1.20  2.16  1.59  0.58  6.47    13.14
11           2.34  1.52  4.37  2.16  8.19    19.38
